entry_date,exit_date,holding_days,pair,direction,return,profit,capital,exit_reason
2024-03-13,2024-03-23,10,upbit_bitget,Short Premium,0.019547644177934295,1954764.4177934295,101954764.41779342,z_score_reversion
2024-05-02,2024-05-09,7,upbit_bitget,Long Premium,-0.04274877435442721,-4358441.218455035,97596323.19933839,z_score_reversion
2024-06-10,2024-06-15,5,upbit_bitget,Short Premium,0.020894077532496835,2039185.1438135959,99635508.34315199,z_score_reversion
2024-08-04,2024-08-09,5,upbit_bitget,Short Premium,0.038112059777985006,3797314.4499841323,103432822.79313612,z_score_reversion
2024-09-16,2024-09-17,1,upbit_bitget,Long Premium,-0.031881628966354984,-3297606.8792335107,100135215.91390261,z_score_reversion
2024-11-05,2024-11-06,1,binance_bitget,Long Premium,-0.03451647555915326,-3456314.7327027544,96678901.18119985,z_score_reversion
2024-12-17,2024-12-23,6,upbit_bitget,Short Premium,0.013905233673617031,1344342.7122331136,98023243.89343296,z_score_reversion
2025-02-01,2025-02-09,8,upbit_bitget,Short Premium,0.02374144765180908,2327213.7135564527,100350457.60698941,z_score_reversion
2025-02-24,2025-02-27,3,binance_bitget,Short Premium,0.017505769840463443,1756712.0142531404,102107169.62124255,z_score_reversion
2025-03-02,2025-03-05,3,binance_bitget,Short Premium,0.022752302611052357,2323173.221980563,104430342.84322311,z_score_reversion
2025-08-13,2025-08-15,2,binance_bitget,Short Premium,0.020018627193055492,2090552.1010214542,106520894.94424456,z_score_reversion
2025-10-09,2025-10-19,10,upbit_bitget,Short Premium,0.005888301924259454,627227.1906740344,107148122.1349186,z_score_reversion
2025-11-02,2025-11-06,4,binance_bitget,Short Premium,0.017074078602341024,1829455.4594248363,108977577.59434344,z_score_reversion
