id,date,symbol,long_short_ratio,long_account_pct,short_account_pct,taker_buy_sell_ratio,taker_buy_vol,taker_sell_vol,top_trader_long_short_ratio,bybit_funding_rate,bybit_oi,created_at
33,2022-01-30,BTCUSDT,,,,1.146776403715278,,,1.0670979353661445,,,2025-11-29 07:31:26
1536,2022-01-30,ETHUSDT,,,,1.2058369628124999,,,0.6152155257393397,,,2025-11-30 04:11:24
1537,2022-05-01,ETHUSDT,,,,,,,0.481552581410521,,,2025-11-30 04:11:47
34,2022-05-01,BTCUSDT,,,,,,,0.3900103635628028,,,2025-11-29 07:31:53
35,2022-05-09,BTCUSDT,,,,1.0334015193783186,,,,,,2025-11-29 07:31:55
1538,2022-05-09,ETHUSDT,,,,1.0407614407799126,,,,,,2025-11-30 04:11:49
36,2022-05-10,BTCUSDT,,,,1.0811611691895062,,,,,,2025-11-29 07:31:56
1539,2022-05-10,ETHUSDT,,,,1.048068178991358,,,,,,2025-11-30 04:11:50
1540,2022-05-11,ETHUSDT,,,,1.0281140613066666,,,,,,2025-11-30 04:11:50
37,2022-05-11,BTCUSDT,,,,1.0317515486119049,,,,,,2025-11-29 07:31:56
1541,2022-05-12,ETHUSDT,,,,1.0130361305802085,,,,,,2025-11-30 04:11:50
38,2022-05-12,BTCUSDT,,,,1.0654106482156251,,,,,,2025-11-29 07:31:56
1542,2022-05-13,ETHUSDT,,,,1.0626036564972223,,,,,,2025-11-30 04:11:50
39,2022-05-13,BTCUSDT,,,,1.1047652853118057,,,,,,2025-11-29 07:31:56
1543,2022-05-14,ETHUSDT,,,,1.1215141811993057,,,,,,2025-11-30 04:11:51
40,2022-05-14,BTCUSDT,,,,1.088385501653125,,,,,,2025-11-29 07:31:57
1544,2022-05-15,ETHUSDT,,,,1.1380380202086806,,,,,,2025-11-30 04:11:51
41,2022-05-15,BTCUSDT,,,,1.1538929550065973,,,,,,2025-11-29 07:31:58
42,2022-05-16,BTCUSDT,,,,1.0721936365600695,,,,,,2025-11-29 07:31:58
1545,2022-05-16,ETHUSDT,,,,1.1024193001694447,,,,,,2025-11-30 04:11:51
43,2022-05-17,BTCUSDT,,,,1.1382759832725695,,,,,,2025-11-29 07:31:58
1546,2022-05-17,ETHUSDT,,,,1.165519721482986,,,,,,2025-11-30 04:11:52
44,2022-05-18,BTCUSDT,,,,1.0802463182649307,,,,,,2025-11-29 07:31:59
1547,2022-05-18,ETHUSDT,,,,1.0914821265548609,,,,,,2025-11-30 04:11:52
45,2022-05-19,BTCUSDT,,,,1.1532464412298613,,,,,,2025-11-29 07:31:59
1548,2022-05-19,ETHUSDT,,,,1.1184916703725696,,,,,,2025-11-30 04:11:52
1549,2022-05-20,ETHUSDT,,,,1.0749551112993057,,,,,,2025-11-30 04:11:52
46,2022-05-20,BTCUSDT,,,,1.0584842575013889,,,,,,2025-11-29 07:31:59
1550,2022-05-21,ETHUSDT,,,,1.127671178557639,,,,,,2025-11-30 04:11:53
47,2022-05-21,BTCUSDT,,,,1.125884650745486,,,,,,2025-11-29 07:31:59
48,2022-05-22,BTCUSDT,,,,1.1603413809767362,,,,,,2025-11-29 07:32:00
